from,till,country,province,locality,where,title,desc,result,link
1934-07-10,1946-03-15,,,,,НКВД,"Центральный орган гос. управления СССР по борьбе с преступностью и поддержанию общественного порядка, и государственной безопасности.",,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B0%D1%80%D0%B8%D0%B0%D1%82_%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D1%85_%D0%B4%D0%B5%D0%BB_%D0%A1%D0%A1%D0%A1%D0%A0
1937-07-30,1938-11-17,,,,,Ежо́вщина,Массовые политические репрессии.,Погибло: по Земскову - 681 692 человека. Членов ЦК ВКП(б) - 78%.,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%BE%D0%B9_%D1%82%D0%B5%D1%80%D1%80%D0%BE%D1%80
1939-04-10,,,,,,Арест Ежова,Обвинение: подготовка путча.,,"https://ru.wikipedia.org/wiki/%D0%95%D0%B6%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87#%D0%90%D1%80%D0%B5%D1%81%D1%82_%D0%B8_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C"
1939-09-01,1945-09-02,,,,,Вторая мировая война,"Крупнейший вооружённый конфликт в истории человечества с участием 80% населения Земного шара. Боевые действия - на территории Европы, Азии и Африки и в водах всех океанов.","Победа антигитлеровской коалиции и разгром Третьего Рейха. Погибли 55 млн человек (около 26,6 млн из них — граждане СССР). Разрушено более 10 000 городов, деревень, сёл.",https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B0%D1%8F_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
1940-02-03,,,,,,Ежов расстрелян.,СМИ не осветили арест и расстрел.,,"https://ru.wikipedia.org/wiki/%D0%95%D0%B6%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87#%D0%90%D1%80%D0%B5%D1%81%D1%82_%D0%B8_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C"
1941-03-13,1941-03-14,,,,,"POL, Krakow",The final 'liquidation' of the ghetto carried out under the command of SS-Untersturmführer Amon Göth. ,"Eight thousand Jews deemed able to work are transported to the Płaszów labor camp. Those deemed unfit for work – some 2,000 Jews – were killed in the streets of the ghetto on those days with the use of ""Trawniki men"" police auxiliaries. Any remaining were sent to Auschwitz.",https://en.wikipedia.org/wiki/Krak%C3%B3w_Ghetto
1941-05-06,,russia,,,"Moscow, РСФСР",Сталин - глава правительства,Сталин становится Председателем Совнаркома,,http://wwii.space/06-05-41-%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%BD-%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F-%D0%BF%D1%80%D0%B5%D0%B4%D1%81%D0%B5%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%BC/
1941-06-10,1941-06-19,,,,,Немецкие самолёты нарушают наши границы,Наши пограничники передают об этом.,Нашу границу нарушили 86 раз,
1941-06-11,,,,,,Директива № 32,Гитлер определил время завершения «победоносного похода на Восток» как конец осени.,,https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%BE%D0%BA%D0%B0%D0%B4%D0%B0_%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D0%B0#cite_note-.D0.94.D0.B0.D1.88.D0.B8.D1.87.D0.B5.D0.B2.2C.D0.A22.E2.80.941973.E2.80.94.E2.80.9447-8
1941-06-12,1941-06-15,,,,,Скрытное подтягивание к границе,"По предписанию Григория Жуков (начальника Генерального штаба) западные приграничные округа скрытно выводят дивизии, расположенные в глубине, ближе к государственной границе. ",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BD%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)
